match_id,date,home_team,away_team,season,home_form_points,home_form_wins,home_form_draws,home_form_losses,home_form_goals_for,home_form_goals_against,home_form_goal_diff,home_form_win_rate,away_form_points,away_form_wins,away_form_draws,away_form_losses,away_form_goals_for,away_form_goals_against,away_form_goal_diff,away_form_win_rate,home_season_played,home_season_points,home_season_win_rate,home_season_avg_goals_for,home_season_avg_goals_against,home_season_clean_sheets,away_season_played,away_season_points,away_season_win_rate,away_season_avg_goals_for,away_season_avg_goals_against,away_season_clean_sheets,home_venue_played,home_venue_win_rate,home_venue_avg_goals,away_venue_played,away_venue_win_rate,away_venue_avg_goals,h2h_played,h2h_wins,h2h_draws,h2h_losses,h2h_win_rate,h2h_goals_for,h2h_goals_against,day_of_week,month,is_weekend,target,home_goals,away_goals,diff_form_points,diff_form_goal_diff,diff_season_win_rate,diff_avg_goals
West Brom_vs_Aston Villa_20080921,2008-09-21,West Brom,Aston Villa,2008-09,5.0,1.0,2.0,2.0,6.0,7.0,-1.0,0.2,8.0,2.0,2.0,1.0,10.0,8.0,2.0,0.4,4,4.0,0.25,1.0,1.25,0.25,4,7.0,0.5,2.0,1.5,0.25,10,0.2,0.8,10,0.3,1.8,4,0.0,3.0,1.0,0.0,3.0,4.0,6,9,1,A,1,2,-3.0,-3.0,-0.25,-1.0
Middlesbrough_vs_West Brom_20080927,2008-09-27,Middlesbrough,West Brom,2008-09,6.0,2.0,0.0,3.0,6.0,8.0,-2.0,0.4,4.0,1.0,1.0,3.0,5.0,7.0,-2.0,0.2,5,6.0,0.4,1.2,1.6,0.0,5,4.0,0.2,1.0,1.4,0.2,10,0.7,1.9,10,0.0,0.6,4,3.0,1.0,0.0,0.75,10.0,3.0,5,9,1,A,0,1,2.0,0.0,0.2,0.19999999999999996
Stoke_vs_Chelsea_20080927,2008-09-27,Stoke,Chelsea,2008-09,4.0,1.0,1.0,3.0,7.0,10.0,-3.0,0.2,11.0,3.0,2.0,0.0,10.0,3.0,7.0,0.6,5,4.0,0.2,1.4,2.0,0.2,5,11.0,0.6,2.0,0.6,0.4,2,0.5,2.5,10,0.8,2.0,0,2.0,1.0,2.0,0.3333333333333333,7.0,7.0,5,9,1,A,0,2,-7.0,-10.0,-0.39999999999999997,-0.6000000000000001
Newcastle_vs_Blackburn_20080927,2008-09-27,Newcastle,Blackburn,2008-09,4.0,1.0,1.0,3.0,4.0,9.0,-5.0,0.2,7.0,2.0,1.0,2.0,6.0,11.0,-5.0,0.4,5,4.0,0.2,0.8,1.8,0.2,5,7.0,0.4,1.2,2.2,0.2,10,0.4,1.1,10,0.3,1.0,10,3.0,2.0,5.0,0.3,13.0,12.0,5,9,1,A,1,2,-3.0,0.0,-0.2,-0.3999999999999999
Man United_vs_Bolton_20080927,2008-09-27,Man United,Bolton,2008-09,8.0,2.0,2.0,1.0,6.0,4.0,2.0,0.4,4.0,1.0,1.0,3.0,5.0,7.0,-2.0,0.2,4,5.0,0.25,1.0,1.0,0.25,5,4.0,0.2,1.0,1.4,0.2,10,0.8,2.6,10,0.2,0.7,10,8.0,1.0,1.0,0.8,26.0,7.0,5,9,1,H,2,0,4.0,4.0,0.04999999999999999,0.0
Everton_vs_Liverpool_20080927,2008-09-27,Everton,Liverpool,2008-09,7.0,2.0,1.0,2.0,9.0,11.0,-2.0,0.4,11.0,3.0,2.0,0.0,5.0,2.0,3.0,0.6,5,7.0,0.4,1.8,2.2,0.0,5,11.0,0.6,1.0,0.4,0.6,10,0.4,1.3,10,0.4,1.1,10,2.0,2.0,6.0,0.2,8.0,14.0,5,9,1,A,0,2,-4.0,-5.0,-0.19999999999999996,0.8
Aston Villa_vs_Sunderland_20080927,2008-09-27,Aston Villa,Sunderland,2008-09,10.0,3.0,1.0,1.0,10.0,7.0,3.0,0.6,7.0,2.0,1.0,2.0,5.0,6.0,-1.0,0.4,5,10.0,0.6,2.0,1.4,0.2,5,7.0,0.4,1.0,1.2,0.2,10,0.5,2.2,10,0.3,0.7,8,2.0,5.0,1.0,0.25,8.0,6.0,5,9,1,H,2,1,3.0,4.0,0.19999999999999996,1.0
Arsenal_vs_Hull_20080927,2008-09-27,Arsenal,Hull,2008-09,12.0,4.0,0.0,1.0,11.0,2.0,9.0,0.8,8.0,2.0,2.0,1.0,7.0,10.0,-3.0,0.4,5,12.0,0.8,2.2,0.4,0.6,5,8.0,0.4,1.4,2.0,0.0,10,0.6,1.6,2,0.5,1.5,0,2.0,1.0,2.0,0.3333333333333333,7.0,7.0,5,9,1,A,1,2,4.0,12.0,0.4,0.8000000000000003
Fulham_vs_West Ham_20080927,2008-09-27,Fulham,West Ham,2008-09,9.0,3.0,0.0,2.0,5.0,4.0,1.0,0.6,9.0,3.0,0.0,2.0,11.0,9.0,2.0,0.6,4,6.0,0.5,1.0,1.0,0.25,5,9.0,0.6,2.2,1.8,0.0,10,0.5,0.9,10,0.1,0.6,8,1.0,2.0,5.0,0.125,8.0,11.0,5,9,1,A,1,2,0.0,-1.0,-0.09999999999999998,-1.2000000000000002
Portsmouth_vs_Tottenham_20080928,2008-09-28,Portsmouth,Tottenham,2008-09,6.0,2.0,0.0,3.0,5.0,12.0,-7.0,0.4,2.0,0.0,2.0,3.0,4.0,7.0,-3.0,0.0,5,6.0,0.4,1.0,2.4,0.2,5,2.0,0.0,0.8,1.4,0.2,10,0.5,1.2,10,0.2,1.0,10,2.0,1.0,7.0,0.2,10.0,18.0,6,9,1,H,2,0,4.0,-4.0,0.4,0.19999999999999996
